"","x"
"602",166.87
"603",175.73
"604",175.96
"605",177.97
"606",165.7
"607",164.15
"608",176.77
"609",169.58
"610",170.88
"611",166.18
"612",168.09
"613",175.55
"614",166.13
"615",168.03
"616",169.36
"617",168.17
"618",172.75
"619",168.49
"620",170.27
"621",176.3
"622",179.97
"623",170.12
"624",181.38
"625",175.52
"626",174.94
"627",167.99
"628",171.57
"629",181.09
"630",172.98
"631",178.84
"632",169.65
"633",179.33
"634",164.33
"635",162.84
"636",164.1
"637",174.54
"638",168.28
"639",181
"640",177.52
"641",172.47
"642",167.9
"643",173.37
"644",172.5
"645",162.34
"646",162.63
"647",166.3
"648",166.62
"649",170.88
"650",167.06
"651",169.47
"652",163.16
"653",170.86
"654",181.26
"655",163.75
"656",167.53
"657",175.54
"658",163.84
"659",169.05
"660",164.09
"661",174
"662",167.34
"663",175.01
"664",176.89
"665",166.17
"666",172.45
"667",165.23
"668",166.99
"669",172.61
"670",171.73
"671",169.22
"672",173.34
"673",164.51
"674",167.26
"675",169.84
"676",169.63
"677",168.87
"678",170.91
"679",167.02
"680",174.3
"681",176.98
"682",176.1
"683",163.62
"684",172.44
"685",166.05
"686",171.07
"687",181.1
"688",173.8
"689",165.79
"690",173.79
"691",180.26
"692",172.74
"693",170.18
"694",170.39
"695",177.19
"696",176.1
"697",167.77
"698",185.94
"699",177.14
"700",161.65
"701",165.07
"702",170.3
"703",175.35
"704",167.13
"705",180.24
"706",175.39
"707",159.4
"708",179.29
"709",176
"710",181.45
"711",167.46
"712",177.13
"713",175.69
"714",170.46
"715",170.87
"716",165.09
"717",174.68
"718",170.39
"719",176.76
"720",178.46
"721",174.35
"722",170.23
"723",169.35
"724",160.75
"725",173.98
"726",165.51
"727",178.31
"728",180.19
"729",164.07
"730",160.28
"731",168.76
"732",167.94
"733",172.84
"734",179.4
"735",170.05
"736",172.64
"737",158.24
"738",164.77
"739",175.63
"740",177.46
"741",162.77
"742",157.73
"743",161.41
"744",163.69
"745",162.95
"746",171.2
"747",171.07
"748",174.9
"749",164.26
"750",179.58
"751",179.9
"752",175.56
"753",173.76
"754",168.23
"755",172.34
"756",171.81
"757",171.33
"758",170.38
"759",176.98
"760",173.28
"761",161.1
"762",176.79
"763",171.58
"764",165.07
"765",174.73
"766",171.28
"767",176.64
"768",170.23
"769",176.46
"770",178.07
"771",179.33
"772",164.52
"773",174.32
"774",167.69
"775",168.63
"776",173.42
"777",174.48
"778",182.43
"779",171.79
"780",163.1
"781",172.43
"782",169.95
"783",178.12
"784",172.28
"785",160.65
"786",182.69
"787",169.15
"788",157.65
"789",171.93
"790",180.68
"791",174.69
"792",167.33
"793",170.67
"794",176.49
"795",168.54
"796",172.49
"797",176.38
"798",167.93
"799",163.65
"800",171.84
"801",178.07
"802",170.24
"803",167.48
"804",179.08
"805",175.52
"806",163.89
"807",164.24
"808",175.42
"809",174.76
"810",167.85
"811",163.86
"812",171.67
"813",174.88
"814",169.89
"815",170.13
"816",175.49
"817",180.49
"818",172.97
"819",165.86
"820",180.36
"821",173.49
"822",175.9
"823",183.6
"824",176.06
"825",165.25
"826",175.71
"827",160.36
"828",170.01
"829",161.76
"830",175.5
"831",174.33
"832",172.03
"833",182.7
"834",180.84
"835",169.19
"836",171.78
"837",167.46
"838",182.79
"839",166.12
"840",166.64
"841",183.65
"842",160.55
"843",177.17
"844",178.97
"845",158.26
"846",167.63
"847",168.86
"848",169.25
"849",169.64
"850",175.48
"851",172.94
"852",177.57
"853",174.99
"854",176.31
"855",174.03
"856",181.99
"857",165.42
"858",179.77
"859",169.55
"860",172.41
"861",169.43
"862",182.11
"863",174.39
"864",179.99
"865",166.7
"866",169.41
"867",172.6
"868",167.17
"869",165.5
"870",171.99
"871",168.41
"872",171.21
"873",164.76
"874",179.16
"875",176.2
"876",158.72
"877",168.85
"878",172.32
"879",168.82
"880",166.95
"881",174.98
"882",163.67
"883",182.05
"884",171.1
"885",178
"886",173.93
"887",168.81
"888",170.53
"889",177.14
"890",165.66
"891",169.5
"892",161.92
"893",176.33
"894",174.93
"895",166.99
"896",174.49
"897",173.46
"898",173.21
"899",168.27
"900",173.79
"901",163.78
"902",175.44
"903",173.55
"904",174.5
"905",173.82
"906",176.14
"907",179.65
"908",168.59
"909",163.88
"910",171.55
"911",172.76
"912",170.87
"913",174.43
"914",164.19
"915",173.82
"916",170.9
"917",173.38
"918",171.18
"919",177.73
"920",169.19
"921",167.55
"922",171.55
"923",167.81
"924",163.79
"925",174.32
"926",174.06
"927",172.65
"928",165.04
"929",173.02
"930",181.11
"931",176.03
"932",171.06
"933",170.41
"934",174.85
"935",167.53
"936",178.16
"937",177.95
"938",178.29
"939",174.97
"940",174.6
"941",174.31
"942",170.02
"943",177.66
"944",173.07
"945",171.95
"946",165.72
"947",176.12
"948",167.22
"949",179.26
"950",169.7
"951",174.52
"952",165.24
"953",173.27
"954",178.41
"955",169.65
"956",175.51
"957",171.8
"958",176.84
"959",183.81
"960",170.83
"961",165.91
"962",161.24
"963",168.34
"964",169.13
"965",182.09
"966",166.35
"967",174.69
"968",175.31
"969",181.52
"970",166.82
"971",169.9
"972",169.46
"973",161.73
"974",180.63
"975",160.6
"976",168.5
"977",178.31
"978",171.95
"979",175.33
"980",166.85
"981",175.62
"982",168.79
"983",168.1
"984",170.67
"985",172.66
"986",165.21
"987",179.96
"988",166.12
"989",167.71
"990",166.57
"991",157.3
"992",171.98
"993",163.3
"994",172.39
"995",176.31
"996",175.31
"997",176.66
"998",170.87
"999",179.05
"1000",169.07
"1001",169.02
"1002",164.4
"1003",175.16
"1004",175.48
"1005",166.6
"1006",165.26
"1007",167.87
"1008",177.87
"1009",169.97
"1010",169.75
"1011",171.67
"1012",167.62
"1013",167.34
"1014",180.31
"1015",173.32
"1016",169.98
"1017",178.06
"1018",181.89
"1019",169.57
"1020",172.27
"1021",173.16
"1022",167.34
"1023",170.01
"1024",173.12
"1025",174.43
"1026",160.84
"1027",170.12
"1028",176.65
"1029",177.5
"1030",167.09
"1031",164.74
"1032",161.07
"1033",181.54
"1034",182.71
"1035",167.75
"1036",169.17
"1037",176.62
"1038",181.9
"1039",169.29
"1040",170.16
"1041",163.82
"1042",158.29
"1043",169.6
"1044",176.36
"1045",180.82
"1046",176.82
"1047",182.93
"1048",172.21
"1049",185.23
"1050",172.06
"1051",169.79
"1052",173.26
"1053",171.9
"1054",180.87
"1055",176.26
"1056",174.88
"1057",169.38
"1058",164.86
"1059",168.39
"1060",163.14
"1061",177.06
"1062",177.52
"1063",168.19
"1064",179.57
"1065",170.83
"1066",179.01
"1067",176.11
"1068",167.19
"1069",169
"1070",173.37
"1071",171.69
"1072",172.13
"1073",175.16
"1074",176.02
"1075",173.25
"1076",181.91
"1077",184.57
"1078",170.36
"1079",180.99
"1080",174.96
"1081",168.62
"1082",163.62
"1083",160.56
"1084",171.66
"1085",165.48
"1086",167.28
"1087",171.73
"1088",174.59
"1089",168.41
"1090",166.51
"1091",170.61
"1092",177.35
"1093",175.07
"1094",167.52
"1095",162.35
"1096",172.61
"1097",167.02
"1098",166.78
"1099",172.01
"1100",175.32
"1101",165.76
"1102",175.03
"1103",174.02
"1104",177.07
"1105",155.79
"1106",179.92
"1107",169.17
"1108",167.73
"1109",165.43
"1110",163.92
"1111",169.59
"1112",176.48
"1113",169.11
"1114",167.12
"1115",162.01
"1116",172.28
"1117",172.63
"1118",171.28
"1119",172.76
"1120",169.99
"1121",166.83
"1122",175.77
"1123",169.79
"1124",170.43
"1125",169.52
"1126",164.45
"1127",170.88
"1128",174.62
"1129",180.38
"1130",176.37
"1131",171.2
"1132",170.63
"1133",168.61
"1134",171.4
"1135",173.75
"1136",165.97
"1137",173.73
"1138",167.54
"1139",171.65
"1140",162.55
"1141",170.62
"1142",170.62
"1143",170.66
"1144",162.86
"1145",166.4
"1146",170.43
"1147",173.84
"1148",169.51
"1149",168.46
"1150",172.08
"1151",169.65
"1152",175.72
"1153",169.02
"1154",170.48
"1155",168.23
"1156",177.72
"1157",169.73
"1158",179.6
"1159",168.64
"1160",168.82
"1161",168.23
"1162",179.84
"1163",169.68
"1164",178.48
"1165",166.32
"1166",175.26
"1167",169.42
"1168",164.2
"1169",166.7
"1170",174.52
"1171",168.81
"1172",166.89
"1173",175.17
"1174",166.67
"1175",174.55
"1176",164.06
"1177",164.84
"1178",164.36
"1179",173.53
"1180",163.81
"1181",165.28
"1182",176.9
"1183",177.64
"1184",167.64
"1185",166.77
"1186",178.32
"1187",173.67
"1188",160.6
"1189",181.28
"1190",170.58
"1191",163.84
"1192",171.64
"1193",169.06
"1194",171.48
"1195",173.07
"1196",178.49
"1197",177.67
"1198",167.45
"1199",161.72
"1200",170.72
"1201",173.35
"1202",170.47
"1203",173.21
"1204",169.54
"1205",183.06
"1206",166.41
"1207",172.32
"1208",174.5
"1209",174.4
"1210",171.24
"1211",172.69
"1212",166.39
"1213",168.14
"1214",165.91
"1215",168.9
"1216",175.41
"1217",173.08
"1218",180.96
"1219",169.83
"1220",174.98
"1221",173.67
"1222",171.17
"1223",175.05
"1224",173.18
"1225",165.72
"1226",174.88
"1227",175.35
"1228",180.46
"1229",167.51
"1230",165.69
"1231",180.54
"1232",171.28
"1233",182.32
"1234",179.3
"1235",167.9
"1236",176.01
"1237",170.59
"1238",175.48
"1239",175.98
"1240",168.81
"1241",171.41
"1242",187.56
"1243",162.34
"1244",178.35
"1245",167.77
"1246",165.7
"1247",173.52
"1248",178.99
"1249",172.51
"1250",171.94
"1251",172.71
"1252",169.44
"1253",170.8
"1254",166.81
"1255",178.74
"1256",176.93
"1257",171.78
"1258",159.54
"1259",181.49
"1260",167.11
"1261",179.62
"1262",172.66
"1263",165.96
"1264",173.93
"1265",163.14
"1266",176.95
"1267",165.7
"1268",169.63
"1269",169.46
"1270",174.6
"1271",177.18
"1272",165.89
"1273",177.48
"1274",167.46
"1275",168.4
"1276",174.78
"1277",171.67
"1278",163.22
"1279",169.68
"1280",182.68
"1281",172.59
"1282",160.2
"1283",176.29
"1284",179.91
"1285",180.8
"1286",176.05
"1287",173.31
"1288",167.45
"1289",168.47
"1290",176.87
"1291",175.8
"1292",164.91
"1293",174.54
"1294",168.2
"1295",157.73
"1296",175.09
"1297",179.13
"1298",174.36
"1299",172.69
"1300",177.22
"1301",172.23
"1302",174.47
"1303",166.42
"1304",171.93
"1305",176.07
"1306",178.78
"1307",167.33
"1308",172.21
"1309",167.2
"1310",166.76
"1311",174.33
"1312",169.43
"1313",174.46
"1314",168.41
"1315",170.54
"1316",172.07
"1317",178.89
"1318",165.6
"1319",173.21
"1320",174.77
"1321",177.58
"1322",170.31
"1323",163.31
"1324",172.99
"1325",179.34
"1326",160.23
"1327",172.17
"1328",175.3
"1329",172.87
"1330",179.71
"1331",165.82
"1332",166.57
"1333",168.92
"1334",170.8
"1335",167.07
"1336",175.04
"1337",174.29
"1338",173.93
"1339",161.71
"1340",161.26
"1341",165.01
"1342",169.51
"1343",169.97
"1344",161.59
"1345",177.08
"1346",177.48
"1347",169.96
"1348",168.65
"1349",174.42
"1350",166.85
"1351",168.19
"1352",166.17
"1353",171.53
"1354",174.83
"1355",171.97
"1356",165.29
"1357",174.76
"1358",162.07
"1359",175.05
"1360",174.1
"1361",164.75
"1362",171.14
"1363",168.45
"1364",179.1
"1365",174.44
"1366",177.43
"1367",172.34
"1368",173.59
"1369",162.07
"1370",174.12
"1371",176.34
"1372",175.68
"1373",175.98
"1374",173.04
"1375",177.35
"1376",173.52
"1377",179.58
"1378",164.98
"1379",171.39
"1380",170.84
"1381",178.83
"1382",169.8
"1383",175.4
"1384",173.97
"1385",173.12
"1386",167.65
"1387",176.21
"1388",173.61
"1389",164.12
"1390",179.23
"1391",163.61
"1392",170.76
"1393",177.2
"1394",167.65
"1395",175.95
"1396",172.68
"1397",172.72
"1398",165.02
"1399",172.66
"1400",168.76
"1401",161.71
"1402",168.21
"1403",170.44
"1404",173.22
"1405",174.76
"1406",168.04
"1407",184.3
"1408",169.34
"1409",176.42
"1410",168.73
"1411",170.73
"1412",167.1
"1413",165.48
"1414",167.73
"1415",175.89
"1416",177.11
"1417",171.34
"1418",172.3
"1419",168.07
"1420",174.38
"1421",160.31
"1422",172.55
"1423",174.7
"1424",168.92
"1425",175.45
"1426",169.94
"1427",178.31
"1428",170.78
"1429",160.42
"1430",169.67
"1431",160.96
"1432",168.32
"1433",171.95
"1434",173.38
"1435",172.32
"1436",182.18
"1437",161.16
"1438",165.93
"1439",175.17
"1440",170.89
"1441",176.46
"1442",167.83
"1443",172.18
"1444",170.12
"1445",175.22
"1446",169.18
"1447",163.51
"1448",164.7
"1449",174.42
"1450",166.7
"1451",166.41
"1452",167.94
"1453",167.77
"1454",171.21
"1455",171.94
"1456",167.35
"1457",178.92
"1458",172.45
"1459",164.42
"1460",167.31
"1461",170.17
"1462",180.33
"1463",172.91
"1464",162.39
"1465",174.98
"1466",174.71
"1467",163.17
"1468",178.6
"1469",170.53
"1470",173.01
"1471",179.05
"1472",178.05
"1473",158.34
"1474",168.53
"1475",172.21
"1476",172.93
"1477",177.62
"1478",166.64
"1479",170.87
"1480",169.91
"1481",174.92
"1482",177.2
"1483",165.13
"1484",178.65
"1485",161.23
"1486",173.39
"1487",166.51
"1488",171.57
"1489",161.11
"1490",168.11
"1491",175.65
"1492",163.54
"1493",164.32
"1494",164.86
"1495",175.89
"1496",173.16
"1497",170.41
"1498",177.21
"1499",176.99
"1500",183.01
"1501",173.43
"1502",167.82
"1503",167.8
"1504",167.6
"1505",169.44
"1506",160.56
"1507",174.45
"1508",175.03
"1509",170.12
"1510",171.98
"1511",171.04
"1512",170.61
"1513",172.61
"1514",174.55
"1515",165.97
"1516",173.72
"1517",170.26
"1518",165.7
"1519",166.49
"1520",175.17
"1521",176.18
"1522",171.1
"1523",183.81
"1524",171.32
"1525",174.84
"1526",159.87
"1527",169.23
"1528",178.86
"1529",162.29
"1530",171.76
"1531",172.5
"1532",166.19
"1533",170.83
"1534",166.62
"1535",163.87
"1536",166.72
"1537",180.44
"1538",176.9
"1539",175.31
"1540",167.08
"1541",168.27
"1542",179.01
"1543",161.3
"1544",167.26
"1545",173.54
"1546",171.32
"1547",172.26
"1548",177.03
"1549",170.84
"1550",171.29
"1551",173.38
"1552",166.72
"1553",169.57
"1554",176
"1555",168.61
"1556",174.33
"1557",173.58
"1558",162.25
"1559",170.51
"1560",162.46
"1561",176.38
"1562",181.37
"1563",169.1
"1564",173.87
"1565",172.5
"1566",174.02
"1567",178.14
"1568",175.55
"1569",170.15
"1570",171.24
"1571",168.16
"1572",167.41
"1573",173.27
"1574",184.18
"1575",170.36
"1576",169.2
"1577",171.12
"1578",161.78
"1579",173.17
"1580",174.22
"1581",178.77
"1582",179
"1583",169.03
"1584",163.36
"1585",164.48
"1586",176.96
"1587",160.91
"1588",169.13
"1589",174.06
"1590",162.32
"1591",162.75
"1592",167.8
"1593",170.82
"1594",169.82
"1595",168.77
"1596",171.65
"1597",162.38
"1598",163.22
"1599",163.74
"1600",170.58
"1601",163.71
"1602",175.2
"1603",170.47
"1604",177.12
"1605",166.41
"1606",181.24
"1607",172.36
"1608",173.48
"1609",175.63
"1610",164.65
"1611",169.45
"1612",175.65
"1613",177.59
"1614",172.06
"1615",175.92
"1616",172
"1617",164.97
"1618",167.64
"1619",163.3
"1620",169.95
"1621",161.94
"1622",162.04
"1623",171.41
"1624",180.93
"1625",165.98
"1626",173.29
"1627",173.95
"1628",175.08
"1629",167.13
"1630",170.24
"1631",175.82
"1632",167.78
"1633",181.12
"1634",173.59
"1635",168.65
"1636",172.03
"1637",164.99
"1638",179.31
"1639",167.21
"1640",163.66
"1641",161.81
"1642",176.54
"1643",178.15
"1644",154.14
"1645",171.38
"1646",169.35
"1647",166.25
"1648",171.35
"1649",176.4
"1650",178.16
"1651",177.88
"1652",176.06
"1653",178.52
"1654",171.49
"1655",170.48
"1656",161.53
"1657",173.89
"1658",179.81
"1659",175.52
"1660",168.84
"1661",165.59
"1662",159.25
"1663",171.71
"1664",170.74
"1665",172.67
"1666",168.58
"1667",168.49
"1668",172.35
"1669",164.55
"1670",167.81
"1671",171.31
"1672",177.8
"1673",171.33
"1674",170.56
"1675",175.99
"1676",176.93
"1677",164.87
"1678",169.61
"1679",167.65
"1680",171.06
"1681",177.58
"1682",166.46
"1683",173.22
"1684",174.59
"1685",178.53
"1686",163.93
"1687",164.97
"1688",166.25
"1689",169.42
"1690",169.92
"1691",179.29
"1692",175.47
"1693",177.3
"1694",180.53
"1695",177.23
"1696",169.95
"1697",170.21
"1698",166.58
"1699",178.96
"1700",170.93
"1701",167.87
"1702",160.51
"1703",164.49
"1704",176.46
"1705",181.08
"1706",168.67
"1707",172.55
"1708",173.34
"1709",167.49
"1710",171.88
"1711",168.53
"1712",175.8
"1713",169.91
"1714",171.36
"1715",177.16
"1716",178.14
"1717",163.47
"1718",161.79
"1719",164.48
"1720",172.96
"1721",176.18
"1722",165.63
"1723",176.5
"1724",167.46
"1725",174.32
"1726",174.01
"1727",170.43
"1728",170.32
"1729",169.37
"1730",165.91
"1731",168.73
"1732",159.3
"1733",168.46
"1734",168.68
"1735",173.22
"1736",160.93
"1737",176.76
"1738",169.86
"1739",176.34
"1740",169.47
"1741",170.72
"1742",188.42
"1743",181.31
"1744",164.69
"1745",163.53
"1746",161.9
"1747",162.91
"1748",174.96
"1749",166.21
"1750",171.53
"1751",178.01
"1752",173.72
"1753",170
"1754",167.18
"1755",171.53
"1756",172.65
"1757",165.03
"1758",164.56
"1759",160.21
"1760",170.03
"1761",183.41
"1762",167.07
"1763",175.06
"1764",172.2
"1765",165.49
"1766",174.82
"1767",170.27
"1768",149.8
"1769",168.93
"1770",179.84
"1771",160.68
"1772",169.31
"1773",173.78
"1774",167.17
"1775",166.41
"1776",166.09
"1777",175.56
"1778",174.83
"1779",167.24
"1780",161.51
"1781",170
"1782",176.66
"1783",177.28
"1784",172.12
"1785",167.82
"1786",168.53
"1787",171.25
"1788",175.24
"1789",171.13
"1790",168.8
"1791",174.16
"1792",165.02
"1793",177.03
"1794",170.99
"1795",177.68
"1796",179.87
"1797",170.59
"1798",172.8
"1799",176.66
"1800",171.11
"1801",181.84
"1802",175.41
"1803",173.38
"1804",172.58
"1805",172.59
"1806",169.52
"1807",180.71
"1808",176.76
"1809",175.35
"1810",170.8
"1811",170.97
"1812",179.46
"1813",170.82
"1814",170.63
"1815",156.42
"1816",173.68
"1817",175.4
"1818",162.7
"1819",175.41
"1820",181.07
"1821",169.31
"1822",180.8
"1823",171.15
"1824",173.01
"1825",168.88
"1826",175.29
"1827",165.27
"1828",169.38
"1829",171.85
"1830",171.53
"1831",179.76
"1832",168.42
"1833",170.98
"1834",173.06
"1835",163.1
"1836",172.92
"1837",171.89
"1838",171.18
"1839",170.15
"1840",182.19
"1841",169.39
"1842",175.19
"1843",166.79
"1844",173.95
"1845",166.45
"1846",170.95
"1847",177.61
"1848",171.9
"1849",164.84
"1850",169.1
"1851",167.36
"1852",175.08
"1853",181.39
"1854",166.8
"1855",163.82
"1856",159.29
"1857",170.69
"1858",167.02
"1859",173.62
"1860",175.19
"1861",171.92
"1862",166.04
"1863",176.48
"1864",172.44
"1865",174.17
"1866",167.81
"1867",174.07
"1868",181.49
"1869",171.94
"1870",167.65
"1871",164.78
"1872",170.25
"1873",172.38
"1874",165.02
"1875",173.94
"1876",175.41
"1877",170.83
